Date,Open,High,Low,Close*,Adj Close**
2019-07-24,7556.86,7558.01,7479.07,7501.46,7501.46
2019-07-23,7514.9,7598.6,7514.9,7556.9,7556.9
2019-07-22,7508.7,7549.7,7491.8,7514.9,7514.9
2019-07-19,7493.1,7546.7,7475.5,7508.7,7508.7
2019-07-18,7535.5,7535.5,7482.6,7493.1,7493.1
2019-07-17,7577.2,7577.2,7519.2,7535.5,7535.5
2019-07-16,7531.7,7590.1,7524.5,7577.2,7577.2
2019-07-15,7506,7548.3,7487.4,7531.7,7531.7
2019-07-12,7509.8,7537.1,7493.8,7506,7506
2019-07-11,7530.7,7558.3,7501.7,7509.8,7509.8
2019-07-10,7536.5,7559.1,7515.6,7530.7,7530.7
2019-07-09,7549.3,7553.3,7517.9,7536.5,7536.5
2019-07-08,7553.1,7571.3,7538.7,7549.3,7549.3
2019-07-05,7603.6,7603.6,7541.9,7553.1,7553.1
2019-07-04,7609.3,7622.6,7601.3,7603.6,7603.6
2019-07-03,7559.2,7621,7558.5,7609.3,7609.3
2019-07-02,7497.5,7565.3,7497.5,7559.2,7559.2
2019-07-01,7425.6,7530.2,7425.6,7497.5,7497.5
2019-06-28,7402.3,7436.2,7398.9,7425.6,7425.6
2019-06-27,7416.4,7439.4,7375.5,7402.3,7402.3
2019-06-26,7422.4,7435.9,7405.5,7416.4,7416.4
2019-06-25,7416.7,7429.7,7373.2,7422.4,7422.4
2019-06-24,7407.5,7435.5,7399.6,7416.7,7416.7
2019-06-21,7424.4,7456.8,7382.9,7407.5,7407.5
2019-06-20,7403.5,7460.8,7403.5,7424.4,7424.4
2019-06-19,7443,7454.9,7399.2,7403.5,7403.5
2019-06-18,7357.3,7469.2,7345.6,7443,7443
2019-06-17,7345.8,7370.7,7324.5,7357.3,7357.3
2019-06-14,7368.6,7368.8,7316.4,7345.8,7345.8
2019-06-13,7367.6,7398.6,7351,7368.6,7368.6
2019-06-12,7398.5,7398.5,7329.3,7367.6,7367.6
2019-06-11,7375.5,7420.7,7375.5,7398.5,7398.5
2019-06-10,7331.9,7380.1,7331.9,7375.5,7375.5
2019-06-07,7259.9,7347.4,7258.2,7331.9,7331.9
2019-06-06,7220.2,7275.7,7218.7,7259.9,7259.9
2019-06-05,7216.7,7259.2,7201.4,7220.2,7220.2
2019-06-04,7184.8,7224,7138.1,7214.3,7214.3
2019-06-03,7161.7,7186.7,7079.7,7184.8,7184.8
2019-05-31,7218.2,7218.2,7130.9,7161.7,7161.7
2019-05-30,7185.3,7236.7,7180.6,7218.2,7218.2
2019-05-29,7269,7269,7151.4,7185.3,7185.3
2019-05-28,7277.7,7314.9,7262.8,7269,7269
2019-05-24,7231,7303,7231,7277.7,7277.7
2019-05-23,7334.2,7334.2,7211.3,7231,7231
2019-05-22,7328.9,7373.3,7313.6,7334.2,7334.2
2019-05-21,7310.9,7370,7310.9,7328.9,7328.9
2019-05-20,7348.6,7360.3,7268.6,7310.9,7310.9
2019-05-17,7353.5,7354.2,7307.3,7348.6,7348.6
2019-05-16,7297,7353.5,7265.8,7353.5,7353.5
2019-05-15,7241.6,7303.7,7223.1,7297,7297
2019-05-14,7163.7,7241.6,7163.7,7241.6,7241.6
2019-05-13,7203.3,7217.1,7150.9,7163.7,7163.7
2019-05-10,7207.4,7268.2,7189.9,7203.3,7203.3
2019-05-09,7271,7271,7192.2,7207.4,7207.4
2019-05-08,7260.5,7278.3,7222.9,7271,7271
2019-05-07,7380.6,7380.6,7251,7260.5,7260.5
2019-05-03,7351.3,7418.2,7350,7380.6,7380.6
2019-05-02,7385.3,7393.9,7339.5,7351.3,7351.3
2019-05-01,7418.2,7446.5,7379.7,7385.3,7385.3
2019-04-30,7440.7,7451.3,7394.1,7418.2,7418.2
2019-04-29,7428.2,7456.5,7406.5,7440.7,7440.7
2019-04-26,7434.1,7442.2,7398.6,7428.2,7428.2
2019-04-25,7471.8,7473.3,7406,7434.1,7434.1
2019-04-24,7523.1,7523.8,7456.7,7471.8,7471.8
2019-04-23,7459.9,7528.9,7459.9,7523.1,7523.1
2019-04-18,7471.3,7475.9,7437.9,7459.9,7459.9
2019-04-17,7469.9,7479,7445.1,7471.3,7471.3
2019-04-16,7436.9,7485.9,7436.9,7469.9,7469.9
2019-04-15,7437.1,7447.1,7420.3,7436.9,7436.9
2019-04-12,7418,7454.8,7415,7437.1,7437.1
2019-04-11,7421.9,7441.9,7383.5,7418,7418
2019-04-10,7425.6,7441.4,7409.4,7421.9,7421.9
2019-04-09,7451.9,7477.6,7413.3,7425.6,7425.6
2019-04-08,7446.9,7459.9,7420.4,7451.9,7451.9
2019-04-05,7401.9,7461.4,7400.8,7446.9,7446.9
2019-04-04,7418.3,7418.4,7367.4,7401.9,7401.9
2019-04-03,7391.1,7418.3,7380.9,7418.3,7418.3
2019-04-02,7317.4,7403.6,7316.8,7391.1,7391.1
2019-04-01,7279.2,7352.2,7279.2,7317.4,7317.4
2019-03-29,7234.3,7287.7,7223.3,7279.2,7279.2
2019-03-28,7194.2,7265.5,7190.9,7234.3,7234.3
2019-03-27,7196.3,7222.6,7160.1,7194.2,7194.2
2019-03-26,7177.6,7221,7169.4,7196.3,7196.3
2019-03-25,7207.6,7208.1,7146.8,7177.6,7177.6
2019-03-22,7355.3,7356.4,7192.8,7207.6,7207.6
2019-03-21,7291,7370.6,7290.6,7355.3,7355.3
2019-03-20,7324,7341.6,7291,7291,7291
2019-03-19,7299.2,7350.1,7294.5,7324,7324
2019-03-18,7228.3,7299.2,7228.2,7299.2,7299.2
2019-03-15,7185.4,7243.8,7185.4,7228.3,7228.3
2019-03-14,7159.2,7215.5,7148.1,7185.4,7185.4
2019-03-13,7151.2,7181.9,7128.7,7159.2,7159.2
2019-03-12,7130.6,7166.6,7083.2,7151.2,7151.2
2019-03-11,7104.3,7181.6,7104.3,7130.6,7130.6
2019-03-08,7157.6,7157.6,7077.9,7104.3,7104.3
2019-03-07,7196,7196,7126.6,7157.6,7157.6
2019-03-06,7183.4,7211.8,7170.3,7196,7196
2019-03-05,7134.4,7191.7,7127.2,7183.4,7183.4
2019-03-04,7106.7,7166.2,7106.7,7134.4,7134.4
2019-03-01,7074.7,7129.7,7074.7,7106.7,7106.7
2019-02-28,7107.2,7107.2,7041,7074.7,7074.7
2019-02-27,7151.1,7151.1,7082.6,7107.2,7107.2
2019-02-26,7183.7,7183.8,7091.6,7151.1,7151.1
2019-02-25,7178.6,7210.7,7158.2,7183.7,7183.7
2019-02-22,7167.4,7220.5,7162.4,7178.6,7178.6
2019-02-21,7228.6,7228.8,7141.9,7167.4,7167.4
2019-02-20,7179.2,7234.2,7178,7228.6,7228.6
2019-02-19,7219.5,7219.5,7162.8,7179.2,7179.2
2019-02-18,7236.7,7242.1,7209.7,7219.5,7219.5
2019-02-15,7197,7261.6,7185.2,7236.7,7236.7
2019-02-14,7190.8,7232.8,7183,7197,7197
2019-02-13,7133.1,7205.1,7133.1,7190.8,7190.8
2019-02-12,7129.1,7168.6,7121.7,7133.1,7133.1
2019-02-11,7071.2,7149.2,7071.2,7129.1,7129.1
2019-02-08,7093.6,7115.8,7064.9,7071.2,7071.2
2019-02-07,7173.1,7187.5,7093.6,7093.6,7093.6
2019-02-06,7177.4,7184.2,7146.7,7173.1,7173.1
2019-02-05,7034.1,7180.7,7033.6,7177.4,7177.4
2019-02-04,7020.2,7046.6,7002.4,7034.1,7034.1
2019-02-01,6968.9,7024.5,6968.9,7020.2,7020.2
2019-01-31,6941.6,6994.9,6941.1,6968.9,6968.9
2019-01-30,6833.9,6967.7,6833.9,6941.6,6941.6
2019-01-29,6747.1,6860.3,6747.1,6833.9,6833.9
2019-01-28,6809.2,6812.5,6734,6747.1,6747.1
2019-01-25,6819,6858.2,6806.8,6809.2,6809.2
2019-01-24,6842.9,6854.6,6802,6819,6819
2019-01-23,6901.4,6901.6,6834.3,6842.9,6842.9
2019-01-22,6970.6,6970.6,6880.7,6901.4,6901.4
2019-01-21,6968.3,6987.9,6954.5,6970.6,6970.6
2019-01-18,6834.9,6984.4,6834.9,6968.3,6968.3
